filename;start_time;end_time;orbit
C03/2022/02/S5p_SO2-COBRA_22362.nc;2022-02-05 14:26:45.634;2022-02-05 14:33:04.465;22362
C03/2022/02/S5p_SO2-COBRA_22373.nc;2022-02-06 09:06:09.412;2022-02-06 09:10:34.846;22373
C03/2022/02/S5p_SO2-COBRA_22374.nc;2022-02-06 10:44:44.721;2022-02-06 10:52:03.191;22374
C03/2022/02/S5p_SO2-COBRA_22375.nc;2022-02-06 12:26:13.905;2022-02-06 12:33:41.615;22375
C03/2022/02/S5p_SO2-COBRA_22376.nc;2022-02-06 14:07:43.689;2022-02-06 14:14:26.880;22376
C03/2022/02/S5p_SO2-COBRA_22377.nc;2022-02-06 15:49:13.714;2022-02-06 15:53:56.787;22377
C03/2022/02/S5p_SO2-COBRA_22387.nc;2022-02-07 08:49:39.624;2022-02-07 08:51:24.622;22387
C03/2022/02/S5p_SO2-COBRA_22388.nc;2022-02-07 10:25:48.776;2022-02-07 10:33:05.566;22388
C03/2022/02/S5p_SO2-COBRA_22389.nc;2022-02-07 12:07:12.920;2022-02-07 12:14:44.830;22389
C03/2022/02/S5p_SO2-COBRA_22390.nc;2022-02-07 13:48:42.104;2022-02-07 13:56:02.254;22390
C03/2022/02/S5p_SO2-COBRA_22391.nc;2022-02-07 15:30:11.889;2022-02-07 15:35:36.961;22391
C03/2022/02/S5p_SO2-COBRA_22402.nc;2022-02-08 10:06:59.909;2022-02-08 10:14:10.820;22402
C03/2022/02/S5p_SO2-COBRA_22403.nc;2022-02-08 11:48:10.734;2022-02-08 11:55:48.524;22403
C03/2022/02/S5p_SO2-COBRA_22404.nc;2022-02-08 13:29:40.998;2022-02-08 13:37:18.788;22404
C03/2022/02/S5p_SO2-COBRA_22405.nc;2022-02-08 15:11:10.182;2022-02-08 15:17:01.294;22405
C03/2022/02/S5p_SO2-COBRA_22416.nc;2022-02-09 09:48:20.163;2022-02-09 09:55:22.674;22416
C03/2022/02/S5p_SO2-COBRA_22417.nc;2022-02-09 11:29:09.029;2022-02-09 11:36:52.698;22417
C03/2022/02/S5p_SO2-COBRA_22418.nc;2022-02-09 13:10:39.053;2022-02-09 13:18:22.722;22418
C03/2022/02/S5p_SO2-COBRA_22419.nc;2022-02-09 14:52:08.237;2022-02-09 14:58:26.229;22419
C03/2022/02/S5p_SO2-COBRA_22430.nc;2022-02-10 09:29:46.417;2022-02-10 09:36:23.729;22430
C03/2022/02/S5p_SO2-COBRA_22431.nc;2022-02-10 11:10:07.203;2022-02-10 11:17:29.873;22431
C03/2022/02/S5p_SO2-COBRA_22432.nc;2022-02-10 12:51:37.228;2022-02-10 12:59:26.777;22432
C03/2022/02/S5p_SO2-COBRA_22433.nc;2022-02-10 14:33:07.252;2022-02-10 14:39:19.364;22433
C03/2022/02/S5p_SO2-COBRA_22444.nc;2022-02-11 09:11:30.521;2022-02-11 09:17:21.633;22444
C03/2022/02/S5p_SO2-COBRA_22445.nc;2022-02-11 10:51:05.108;2022-02-11 10:58:59.697;22445
C03/2022/02/S5p_SO2-COBRA_22446.nc;2022-02-11 12:32:35.372;2022-02-11 12:40:30.801;22446
C03/2022/02/S5p_SO2-COBRA_22447.nc;2022-02-11 14:14:05.156;2022-02-11 14:21:13.547;22447
C03/2022/02/S5p_SO2-COBRA_22448.nc;2022-02-11 15:55:35.181;2022-02-11 16:00:56.054;22448
C03/2022/02/S5p_SO2-COBRA_22458.nc;2022-02-12 08:55:12.491;2022-02-12 08:57:56.288;22458
C03/2022/02/S5p_SO2-COBRA_22459.nc;2022-02-12 10:32:06.642;2022-02-12 10:40:03.751;22459
C03/2022/02/S5p_SO2-COBRA_22460.nc;2022-02-12 12:13:33.426;2022-02-12 12:21:34.735;22460
C03/2022/02/S5p_SO2-COBRA_22461.nc;2022-02-12 13:55:03.450;2022-02-12 14:02:39.560;22461
C03/2022/02/S5p_SO2-COBRA_22462.nc;2022-02-12 15:36:33.475;2022-02-12 15:42:22.067;22462
C03/2022/02/S5p_SO2-COBRA_22472.nc;2022-02-13 08:38:20.500;2022-02-13 08:39:37.779;22472
C03/2022/02/S5p_SO2-COBRA_22473.nc;2022-02-13 10:13:15.253;2022-02-13 10:20:55.563;22473
C03/2022/02/S5p_SO2-COBRA_22474.nc;2022-02-13 11:54:31.358;2022-02-13 12:02:38.547;22474
C03/2022/02/S5p_SO2-COBRA_22475.nc;2022-02-13 13:36:01.382;2022-02-13 13:43:52.611;22475
C03/2022/02/S5p_SO2-COBRA_22476.nc;2022-02-13 15:17:31.646;2022-02-13 15:23:45.437;22476
C03/2022/02/S5p_SO2-COBRA_22487.nc;2022-02-14 09:54:33.223;2022-02-14 10:02:08.493;22487
C03/2022/02/S5p_SO2-COBRA_22488.nc;2022-02-14 11:35:30.008;2022-02-14 11:43:35.517;22488
C03/2022/02/S5p_SO2-COBRA_22489.nc;2022-02-14 13:16:59.672;2022-02-14 13:25:12.741;22489
C03/2022/02/S5p_SO2-COBRA_22490.nc;2022-02-14 14:58:29.936;2022-02-14 15:04:38.688;22490
C03/2022/02/S5p_SO2-COBRA_22501.nc;2022-02-15 09:35:57.594;2022-02-15 09:43:16.904;22501
C03/2022/02/S5p_SO2-COBRA_22502.nc;2022-02-15 11:16:27.739;2022-02-15 11:24:34.088;22502
C03/2022/02/S5p_SO2-COBRA_22503.nc;2022-02-15 12:57:58.123;2022-02-15 13:05:55.232;22503
C03/2022/02/S5p_SO2-COBRA_22504.nc;2022-02-15 14:39:27.427;2022-02-15 14:46:27.418;22504
C03/2022/02/S5p_SO2-COBRA_22515.nc;2022-02-16 09:17:27.323;2022-02-16 09:24:21.433;22515
C03/2022/02/S5p_SO2-COBRA_22516.nc;2022-02-16 10:57:26.029;2022-02-16 11:05:12.218;22516
C03/2022/02/S5p_SO2-COBRA_22517.nc;2022-02-16 12:38:56.053;2022-02-16 12:47:21.721;22517
